타라, 80, 193
라하, 87, 144
마라, 82, 173
사사, 68, 186
파아, 77, 171
파카, 41, 192
바사, 43, 157
자하, 46, 174
가라, 97, 173
하다, 46, 167
차바, 63, 198
카아, 65, 186
아사, 87, 193
차하, 78, 181
라자, 56, 160
하파, 87, 185
나다, 87, 195
카차, 44, 148
아바, 59, 177
하다, 77, 145
차사, 76, 193
카타, 82, 150
타마, 65, 169
아하, 52, 192
바다, 75, 151
라다, 45, 184
자타, 75, 161
파바, 58, 195
타마, 77, 148
라카, 72, 147
카타, 77, 178
파나, 82, 187
바자, 42, 161
하타, 58, 187
다하, 43, 141
바카, 63, 170
다가, 64, 161
나하, 77, 159
바다, 98, 145
가자, 42, 152
바다, 41, 140
자가, 80, 180
사마, 77, 191
나라, 41, 166
차타, 53, 186
사가, 83, 185
타마, 72, 153
타차, 45, 179
마타, 66, 172
바가, 45, 146
차라, 53, 178
아자, 73, 163
마다, 57, 172
바아, 74, 145
바다, 70, 168
마자, 81, 170
바차, 77, 160
나하, 98, 156
파파, 79, 186
아하, 49, 175
카바, 61, 175
라마, 41, 167
가마, 62, 171
라하, 85, 196
마타, 47, 148
하차, 89, 152
라차, 76, 172
파카, 45, 150
가가, 41, 150
타사, 44, 199
나라, 81, 191
자차, 66, 151
바가, 93, 178
타아, 45, 163
가아, 62, 173
타마, 40, 173
다다, 74, 185
가자, 93, 197
자라, 80, 169
바바, 54, 194
파라, 93, 161
차카, 74, 187
카하, 94, 177
자가, 87, 189
라나, 64, 143
하차, 63, 168
아가, 90, 176
가라, 88, 187
타바, 85, 168
라차, 93, 159
아가, 51, 144
다아, 50, 148
하가, 73, 164
아타, 65, 154
나사, 51, 178
차나, 68, 196
아아, 59, 165
다사, 98, 193
타마, 99, 183
파라, 47, 143
아마, 86, 159
파카, 92, 177
사하, 53, 177
파라, 53, 154
가마, 57, 161
가자, 66, 198
나나, 91, 183
사카, 64, 153
바사, 45, 177
자마, 85, 156
아아, 50, 146
라카, 92, 150
아나, 97, 150
라사, 48, 160
타아, 41, 162
카라, 41, 157
가마, 43, 156
아라, 94, 159
바자, 75, 189
바카, 71, 182
아나, 77, 166
파마, 43, 171
다차, 67, 193
사타, 81, 172
사아, 63, 148
나바, 66, 182
하카, 94, 175
타바, 68, 180
가가, 79, 188
차다, 89, 175
가차, 61, 172
자사, 95, 162
마나, 67, 161
하카, 46, 194
차바, 78, 162
차다, 46, 161
타파, 75, 189
파하, 71, 198
자마, 84, 197
파사, 99, 176
자사, 48, 166
카자, 87, 183
사마, 74, 194
하파, 64, 143
파가, 89, 145
타자, 40, 176
다파, 55, 182
나자, 90, 178
마사, 57, 178
하파, 40, 181
다타, 60, 149
하사, 91, 198
바가, 42, 147
사나, 87, 196
파자, 70, 173
아바, 57, 169
나아, 62, 153
자바, 52, 159
아하, 87, 148
마아, 49, 175
자아, 68, 162
자카, 59, 164
하차, 71, 152
타가, 93, 195
파자, 78, 147
바나, 96, 140
타바, 43, 186
아나, 92, 177
타라, 63, 184
하라, 66, 180
라다, 84, 168
차하, 84, 142
사나, 89, 160
아차, 58, 195
라자, 73, 144
카하, 78, 191
아가, 78, 174
가다, 58, 152
가하, 95, 151
하라, 84, 157
마가, 86, 172
사사, 81, 162
라사, 88, 168
라차, 51, 153
카아, 50, 176
파라, 61, 162
아가, 70, 150
차나, 43, 187
가라, 83, 178
파가, 80, 171
차하, 84, 167
차다, 44, 163
타사, 78, 163
다바, 81, 174
카다, 61, 174
라가, 47, 159
라파, 68, 156
마카, 66, 180
차가, 68, 185
라아, 60, 187
자나, 55, 168
사차, 68, 189
바자, 77, 173
아하, 42, 193
나하, 69, 163
차가, 80, 190
바하, 49, 149
가나, 49, 147
라아, 54, 197
아가, 78, 199
다카, 50, 142
사바, 98, 188
하자, 41, 175
아아, 60, 177
카파, 54, 152
차사, 82, 193
사카, 97, 161
아차, 87, 190
가파, 99, 166
바가, 57, 171
자다, 84, 176
다하, 57, 149
자라, 66, 188
가라, 97, 150
바아, 89, 187
카마, 53, 147
차자, 90, 140
마가, 51, 145
카하, 40, 199
다아, 86, 157
바라, 66, 141
파타, 97, 172
자아, 88, 170
나아, 60, 169
자바, 98, 177
하가, 59, 187
마타, 64, 144
라차, 76, 184
타가, 51, 197
타가, 70, 170
타사, 43, 174
타사, 64, 197
다카, 97, 165
마아, 75, 143
자바, 60, 180
타자, 43, 151
타카, 81, 171
자가, 87, 148
라하, 48, 159
타차, 70, 158
마차, 74, 145
차라, 60, 186
사라, 58, 158
바다, 76, 173
마마, 77, 168
타타, 68, 184
아가, 91, 142
카카, 48, 161
라하, 55, 160
자가, 58, 180
자차, 44, 184
타나, 74, 155
타가, 63, 161
마카, 70, 151
하다, 41, 164
자가, 68, 150
나파, 58, 166
라가, 74, 163
카나, 51, 190
하자, 89, 142
타차, 94, 198
차사, 86, 175
자하, 64, 149
타타, 83, 168
카카, 40, 194
가하, 58, 178
자아, 57, 154
라차, 43, 157
나카, 43, 154
나타, 96, 197
나타, 43, 149
가자, 70, 194
가가, 89, 150
라차, 93, 168
하하, 83, 162
가차, 40, 149
사라, 47, 164
다마, 99, 177
마하, 92, 148
파마, 74, 176
카자, 64, 180
파자, 54, 193
사마, 70, 173
나사, 52, 189
사나, 74, 177
마자, 42, 170
파아, 87, 171
아차, 86, 164
타타, 82, 185
카파, 82, 171
하라, 64, 191
하카, 45, 151
사사, 65, 150
자자, 49, 193
차다, 74, 161
다파, 90, 169
가라, 70, 143
하타, 98, 198
사바, 96, 141
카차, 93, 186
마하, 84, 160
아파, 43, 199
가마, 66, 156
가사, 94, 184
자마, 41, 156
차바, 56, 150
마차, 95, 156
바차, 51, 164
차바, 71, 156
가라, 96, 191
마다, 52, 185
카카, 51, 181
가라, 65, 146
나라, 66, 157
마라, 44, 199
나바, 64, 198
타아, 41, 161
아아, 68, 185
차카, 80, 167
차나, 81, 165
하하, 70, 183
라타, 85, 164
가자, 71, 177
타라, 65, 161
나바, 81, 150
나카, 51, 189
차라, 42, 196
나자, 57, 168
라차, 56, 196
카카, 61, 162
파아, 79, 174
파다, 64, 152
아아, 89, 185
파바, 52, 180
나하, 76, 196
자하, 61, 167
자하, 48, 150
다카, 56, 140
타가, 47, 178
하차, 87, 164
마타, 64, 166
사바, 92, 171
라아, 98, 196
사사, 49, 184
하파, 94, 191
나타, 59, 145
가바, 93, 169
카나, 65, 156
다카, 64, 154
하라, 44, 191
가라, 99, 186
자타, 56, 171
카자, 85, 141
가카, 56, 198
바타, 92, 184
타라, 41, 168
차자, 99, 174
차파, 45, 140
차가, 70, 157
차차, 76, 187
차라, 83, 162
자마, 55, 187
사다, 53, 187
차아, 94, 147
마타, 80, 148
다파, 58, 183
자가, 94, 150
타하, 81, 191
파아, 80, 175
바차, 54, 175
가카, 81, 174
바다, 50, 148
가가, 87, 171
다라, 62, 171
라아, 80, 179
마사, 40, 176
자나, 86, 190
차나, 67, 169
다자, 47, 195
카나, 97, 164
하카, 42, 149
자가, 69, 146
다차, 68, 187
차나, 54, 176
사자, 65, 184
타라, 42, 191
가타, 81, 174
사사, 77, 164
마나, 69, 180
